"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 07, 2018","261.78","258.46","261.86","257.50","4.46M","2.17%"
"Nov 06, 2018","256.23","254.53","256.38","254.33","2.19M","0.69%"
"Nov 05, 2018","254.48","252.84","254.93","252.50","2.83M","0.80%"
"Nov 02, 2018","252.46","255.38","255.60","250.58","6.41M","-0.50%"
"Nov 01, 2018","253.73","252.15","253.83","250.91","3.27M","1.01%"
"Oct 31, 2018","251.19","250.94","253.22","250.39","5.38M","1.00%"
"Oct 30, 2018","248.70","244.44","248.94","244.09","6.15M","1.73%"
"Oct 29, 2018","244.47","248.72","250.24","241.05","6.83M","-0.84%"
"Oct 26, 2018","246.53","247.38","249.04","244.31","5.88M","-1.30%"
"Oct 25, 2018","249.77","247.33","250.93","246.25","5.92M","1.68%"
"Oct 24, 2018","245.64","252.40","252.89","245.18","7.62M","-2.40%"
"Oct 23, 2018","251.67","249.04","252.93","247.52","7.36M","-0.54%"
"Oct 22, 2018","253.04","255.07","255.44","252.20","4.66M","-0.50%"
"Oct 19, 2018","254.32","254.23","255.98","253.34","6.62M","0.25%"
"Oct 18, 2018","253.68","256.11","256.86","252.32","8.69M","-1.28%"
"Oct 17, 2018","256.97","256.92","258.02","254.67","6.82M","-0.37%"
"Oct 16, 2018","257.92","254.62","258.11","253.98","7.10M","2.21%"
"Oct 15, 2018","252.34","252.87","254.74","252.34","5.50M","-0.38%"
"Oct 12, 2018","253.30","254.36","254.61","249.93","8.63M","1.21%"
"Oct 11, 2018","250.27","254.73","256.73","248.86","15.27M","-2.26%"
"Oct 10, 2018","256.06","264.04","264.12","255.80","12.29M","-3.09%"
"Oct 09, 2018","264.23","264.38","265.32","263.14","4.56M","-0.23%"
"Oct 08, 2018","264.83","263.25","265.21","262.08","6.24M","0.19%"
"Oct 05, 2018","264.32","266.34","266.62","262.90","7.48M","-0.72%"
"Oct 04, 2018","266.25","267.69","267.71","264.58","8.72M","-0.63%"
"Oct 03, 2018","267.95","268.77","269.28","267.67","5.83M","0.14%"
"Oct 02, 2018","267.57","266.11","268.02","266.05","4.55M","0.31%"
"Oct 01, 2018","266.73","266.10","267.15","265.74","5.83M","0.88%"
"Sep 28, 2018","264.40","263.56","264.94","263.50","3.29M","0.06%"
"Sep 27, 2018","264.25","264.25","265.37","263.59","2.44M","0.18%"
"Sep 26, 2018","263.78","264.81","265.84","263.27","3.37M","-0.36%"
"Sep 25, 2018","264.73","266.03","266.12","264.53","1.82M","-0.26%"
"Sep 24, 2018","265.42","266.68","266.70","265.25","3.78M","-0.64%"
"Sep 21, 2018","267.12","267.55","267.61","266.59","3.94M","0.03%"
"Sep 20, 2018","267.04","266.00","267.31","265.99","5.25M","0.99%"
"Sep 19, 2018","264.42","263.10","264.99","263.10","4.00M","0.57%"
"Sep 18, 2018","262.91","261.25","263.53","261.18","3.00M","0.74%"
"Sep 17, 2018","260.98","261.72","262.19","260.64","2.47M","-0.35%"
"Sep 14, 2018","261.89","262.01","262.47","261.02","3.08M","0.04%"
"Sep 13, 2018","261.78","261.42","262.22","260.99","2.47M","0.59%"
"Sep 12, 2018","260.25","260.15","261.77","259.58","4.97M","0.08%"
"Sep 11, 2018","260.03","258.10","260.51","257.82","3.07M","0.42%"
"Sep 10, 2018","258.94","260.52","260.65","258.86","2.25M","-0.23%"
"Sep 07, 2018","259.54","259.33","260.34","258.46","3.80M","-0.29%"
"Sep 06, 2018","260.29","260.14","261.05","259.04","3.88M","0.14%"
"Sep 05, 2018","259.92","259.22","260.31","258.92","3.28M","0.07%"
"Sep 04, 2018","259.73","259.22","259.92","258.21","2.94M","-0.05%"
"Aug 31, 2018","259.85","259.59","260.49","258.98","3.08M","-0.06%"
"Aug 30, 2018","260.01","260.74","261.15","259.45","3.87M","-0.51%"
"Aug 29, 2018","261.33","260.80","261.77","260.44","2.43M","0.26%"
"Aug 28, 2018","260.64","261.30","261.32","260.35","2.71M","0.02%"
"Aug 27, 2018","260.58","259.25","260.64","259.25","4.11M","1.06%"
"Aug 24, 2018","257.85","257.24","258.18","256.99","3.63M","0.53%"
"Aug 23, 2018","256.49","256.80","257.56","255.98","2.81M","-0.27%"
"Aug 22, 2018","257.18","258.00","258.20","257.05","3.85M","-0.34%"
"Aug 21, 2018","258.07","257.93","258.70","257.76","3.29M","0.25%"
"Aug 20, 2018","257.43","257.11","257.72","256.97","2.93M","0.36%"
"Aug 17, 2018","256.51","255.23","257.12","255.03","3.90M","0.22%"
"Aug 16, 2018","255.94","254.37","256.41","254.28","7.92M","1.66%"
"Aug 15, 2018","251.76","251.84","252.20","249.86","5.80M","-0.57%"
"Aug 14, 2018","253.21","252.76","253.55","252.23","2.82M","0.46%"
"Aug 13, 2018","252.04","253.57","253.96","251.70","3.69M","-0.50%"
"Aug 10, 2018","253.30","253.68","253.90","252.40","4.80M","-0.73%"
"Aug 09, 2018","255.16","255.76","256.23","255.00","1.68M","-0.18%"
"Aug 08, 2018","255.62","255.97","256.12","255.38","1.88M","-0.20%"
"Aug 07, 2018","256.12","255.98","256.76","255.65","2.39M","0.50%"
"Aug 06, 2018","254.85","254.22","255.24","253.63","2.31M","0.18%"
"Aug 03, 2018","254.39","253.04","254.50","253.04","2.47M","0.51%"
"Aug 02, 2018","253.10","251.45","253.41","251.03","4.13M","-0.00%"
"Aug 01, 2018","253.11","253.90","254.64","252.56","3.16M","-0.42%"
"Jul 31, 2018","254.17","253.69","254.68","253.60","3.74M","0.51%"
"Jul 30, 2018","252.87","254.53","254.79","252.67","4.48M","-0.55%"
"Jul 27, 2018","254.26","255.11","255.60","253.48","5.85M","-0.34%"
"Jul 26, 2018","255.12","254.52","255.68","254.45","4.17M","0.43%"
"Jul 25, 2018","254.02","251.57","254.16","250.93","4.70M","0.72%"
"Jul 24, 2018","252.21","251.26","252.66","251.06","5.49M","0.78%"
"Jul 23, 2018","250.26","250.21","250.60","249.62","1.79M","-0.07%"
"Jul 20, 2018","250.44","249.82","251.04","249.68","2.69M","-0.14%"
"Jul 19, 2018","250.79","251.22","251.62","250.61","2.54M","-0.49%"
"Jul 18, 2018","252.03","251.39","252.16","251.02","2.12M","0.30%"
"Jul 17, 2018","251.28","250.55","251.57","249.90","2.96M","0.24%"
"Jul 16, 2018","250.67","250.39","250.75","249.83","1.88M","0.19%"
"Jul 13, 2018","250.20","249.24","250.46","248.93","3.02M","0.36%"
"Jul 12, 2018","249.30","249.07","249.44","248.17","3.18M","0.90%"
"Jul 11, 2018","247.08","247.34","248.16","246.64","4.41M","-0.86%"
"Jul 10, 2018","249.23","248.52","249.48","248.45","3.47M","0.56%"
"Jul 09, 2018","247.84","245.78","248.00","245.76","3.68M","1.32%"
"Jul 06, 2018","244.60","243.31","245.20","242.81","3.55M","0.43%"
"Jul 05, 2018","243.55","243.13","243.67","241.69","3.29M","0.78%"
"Jul 03, 2018","241.66","244.06","244.30","241.35","3.14M","-0.44%"
"Jul 02, 2018","242.73","240.92","243.04","240.62","5.70M","0.00%"
"Jun 29, 2018","242.73","243.48","244.96","242.59","3.97M","0.27%"
"Jun 28, 2018","242.08","240.47","242.96","239.83","5.52M","0.40%"
"Jun 27, 2018","241.12","243.27","245.58","241.01","6.15M","-0.64%"
"Jun 26, 2018","242.67","242.92","243.69","242.27","3.83M","0.15%"
"Jun 25, 2018","242.31","244.18","244.40","240.70","9.54M","-1.38%"
"Jun 22, 2018","245.69","245.92","246.51","245.44","3.65M","0.49%"
"Jun 21, 2018","244.50","245.83","245.94","243.93","4.68M","-0.80%"
"Jun 20, 2018","246.46","247.96","247.98","246.12","4.71M","-0.17%"
"Jun 19, 2018","246.88","246.60","247.23","245.53","5.51M","-1.14%"
"Jun 18, 2018","249.73","248.80","249.90","248.14","4.08M","-0.40%"
"Jun 15, 2018","250.74","250.27","251.19","248.77","6.34M","-0.50%"
"Jun 14, 2018","251.99","253.16","253.51","251.54","5.01M","-0.08%"
"Jun 13, 2018","252.18","253.42","253.75","252.03","3.82M","-0.44%"
"Jun 12, 2018","253.30","253.74","253.77","252.56","6.53M","-0.04%"
"Jun 11, 2018","253.39","253.62","254.16","253.02","4.20M","0.05%"
"Jun 08, 2018","253.27","251.96","253.41","251.77","4.45M","0.29%"
"Jun 07, 2018","252.53","252.22","253.37","251.74","4.29M","0.40%"
"Jun 06, 2018","251.52","249.24","251.53","248.55","4.10M","1.36%"
"Jun 05, 2018","248.15","248.16","248.48","247.16","2.82M","-0.02%"
"Jun 04, 2018","248.20","247.72","248.67","247.54","3.06M","0.75%"
"Jun 01, 2018","246.36","246.14","246.83","245.65","3.57M","0.89%"
"May 31, 2018","244.18","246.00","246.02","243.51","5.36M","-1.02%"
"May 30, 2018","246.70","245.17","247.16","244.58","4.19M","1.33%"
"May 29, 2018","243.45","245.38","246.21","242.31","6.44M","-1.58%"
"May 25, 2018","247.37","247.41","248.10","246.71","4.21M","-0.22%"
"May 24, 2018","247.91","248.13","248.43","245.85","3.45M","-0.29%"
"May 23, 2018","248.63","246.83","248.70","246.47","3.49M","0.18%"
"May 22, 2018","248.18","250.37","250.43","247.92","2.33M","-0.70%"
"May 21, 2018","249.94","249.22","250.67","249.21","4.06M","1.19%"
"May 18, 2018","247.00","246.97","247.53","246.42","2.41M","-0.30%"
"May 17, 2018","247.74","247.80","248.89","246.88","2.06M","-0.09%"
"May 16, 2018","247.97","247.18","248.28","246.97","2.03M","0.27%"
"May 15, 2018","247.31","248.07","248.18","246.49","4.76M","-0.79%"
"May 14, 2018","249.27","249.41","250.20","248.85","4.29M","0.29%"
"May 11, 2018","248.54","247.70","248.94","247.38","3.29M","0.44%"
"May 10, 2018","247.46","246.00","248.11","245.97","3.88M","0.84%"
"May 09, 2018","245.40","244.23","245.85","243.21","3.67M","0.81%"
"May 08, 2018","243.42","243.17","243.98","241.84","2.93M","0.00%"
"May 07, 2018","243.42","243.50","244.67","242.49","2.98M","0.37%"
"May 04, 2018","242.52","238.11","243.22","237.68","3.60M","1.43%"
"May 03, 2018","239.10","237.92","239.83","235.12","6.18M","-0.00%"
"May 02, 2018","239.11","240.61","241.70","238.72","2.73M","-0.69%"
"May 01, 2018","240.76","240.69","240.89","237.91","4.40M","-0.32%"
"Apr 30, 2018","241.54","244.10","244.84","241.51","3.48M","-0.58%"
"Apr 27, 2018","242.95","242.97","243.44","241.77","3.21M","-0.07%"
"Apr 26, 2018","243.12","241.43","243.88","241.12","3.85M","1.01%"
"Apr 25, 2018","240.70","240.29","241.33","238.09","5.27M","0.25%"
"Apr 24, 2018","240.09","245.39","245.56","238.12","7.09M","-1.74%"
"Apr 23, 2018","244.35","245.06","245.18","243.14","2.49M","-0.05%"
"Apr 20, 2018","244.48","246.37","246.66","243.59","3.40M","-0.85%"
"Apr 19, 2018","246.57","246.92","247.58","245.49","3.72M","-0.33%"
"Apr 18, 2018","247.38","247.88","248.22","247.08","3.65M","-0.17%"
"Apr 17, 2018","247.80","248.15","248.48","247.27","3.82M","0.89%"
"Apr 16, 2018","245.62","245.12","246.67","244.72","4.02M","0.84%"
"Apr 13, 2018","243.58","246.42","246.46","242.33","5.22M","-0.50%"
"Apr 12, 2018","244.81","243.66","245.82","243.44","4.74M","1.21%"
"Apr 11, 2018","241.88","242.13","243.58","241.39","4.73M","-0.87%"
"Apr 10, 2018","244.01","243.35","245.00","242.20","5.98M","1.79%"
"Apr 09, 2018","239.73","241.16","243.64","239.43","5.05M","0.25%"
"Apr 06, 2018","239.13","242.30","244.25","237.24","6.99M","-2.36%"
"Apr 05, 2018","244.91","243.80","246.09","243.38","4.79M","1.01%"
"Apr 04, 2018","242.46","235.05","242.90","234.94","6.44M","0.96%"
"Apr 03, 2018","240.15","237.38","240.25","236.40","9.87M","1.69%"
"Apr 02, 2018","236.15","240.33","241.03","233.20","9.22M","-2.17%"
"Mar 29, 2018","241.40","239.57","242.94","239.06","6.64M","1.31%"
"Mar 28, 2018","238.28","239.04","240.72","237.05","7.98M","-0.00%"
"Mar 27, 2018","238.29","243.05","244.26","236.85","6.51M","-1.46%"
"Mar 26, 2018","241.82","239.03","242.15","237.20","6.59M","2.85%"
"Mar 23, 2018","235.13","239.98","240.90","234.85","7.60M","-1.77%"
"Mar 22, 2018","239.36","244.09","245.03","239.17","7.45M","-2.94%"
"Mar 21, 2018","246.62","247.14","249.65","246.32","4.34M","-0.19%"
"Mar 20, 2018","247.10","246.49","247.85","246.32","3.26M","0.48%"
"Mar 19, 2018","245.91","248.30","248.38","244.32","5.74M","-1.28%"
"Mar 16, 2018","249.10","248.57","250.13","248.34","3.43M","0.04%"
"Mar 15, 2018","249.00","248.84","250.80","247.80","5.07M","0.45%"
"Mar 14, 2018","247.88","251.41","251.62","246.92","6.22M","-0.94%"
"Mar 13, 2018","250.22","253.10","253.97","249.65","6.10M","-0.69%"
"Mar 12, 2018","251.96","254.05","254.72","251.70","5.51M","-0.63%"
"Mar 09, 2018","253.56","250.94","253.56","250.34","3.90M","1.77%"
"Mar 08, 2018","249.14","249.13","249.71","247.22","5.85M","0.42%"
"Mar 07, 2018","248.11","245.86","248.58","245.40","5.36M","-0.29%"
"Mar 06, 2018","248.84","250.18","250.18","247.05","4.41M","0.00%"
"Mar 05, 2018","248.84","243.84","249.63","243.80","4.89M","1.42%"
"Mar 02, 2018","245.35","243.55","245.92","242.16","6.39M","-0.26%"
"Mar 01, 2018","245.98","250.21","251.87","244.37","8.14M","-1.69%"
"Feb 28, 2018","250.20","255.18","255.77","250.20","5.30M","-1.48%"
"Feb 27, 2018","253.96","257.10","257.86","253.92","7.22M","-1.15%"
"Feb 26, 2018","256.92","254.32","257.18","253.96","6.12M","1.59%"
"Feb 23, 2018","252.91","250.79","252.95","250.05","5.12M","1.37%"
"Feb 22, 2018","249.49","248.63","251.36","248.53","6.34M","0.71%"
"Feb 21, 2018","247.72","249.60","252.51","247.71","5.89M","-0.65%"
"Feb 20, 2018","249.35","250.44","251.59","248.59","8.69M","-1.04%"
"Feb 16, 2018","251.96","251.43","254.12","251.20","6.40M","-0.21%"
"Feb 15, 2018","252.50","251.62","252.50","248.49","6.11M","1.28%"
"Feb 14, 2018","249.30","245.17","249.49","245.04","5.76M","1.11%"
"Feb 13, 2018","246.57","244.72","247.25","244.33","6.23M","0.16%"
"Feb 12, 2018","246.17","244.03","247.85","243.06","10.46M","1.71%"
"Feb 09, 2018","242.03","241.41","244.03","233.76","19.86M","1.41%"
"Feb 08, 2018","238.67","248.96","249.08","238.50","15.83M","-4.06%"
"Feb 07, 2018","248.76","248.24","252.79","247.57","12.66M","-0.08%"
"Feb 06, 2018","248.96","238.32","249.33","237.54","20.49M","2.34%"
"Feb 05, 2018","243.27","252.22","255.02","239.06","19.89M","-4.57%"
"Feb 02, 2018","254.93","259.61","259.85","254.73","9.49M","-2.56%"
"Feb 01, 2018","261.62","259.95","262.90","259.77","5.18M","0.07%"
"Jan 31, 2018","261.44","263.00","263.16","260.29","5.37M","0.31%"
"Jan 30, 2018","260.62","261.48","262.44","260.09","9.41M","-1.34%"
"Jan 29, 2018","264.16","265.56","265.90","264.12","4.61M","-0.66%"
"Jan 26, 2018","265.91","264.32","265.93","264.05","3.86M","0.82%"
"Jan 25, 2018","263.75","263.58","264.39","262.42","5.92M","0.45%"
"Jan 24, 2018","262.57","263.00","263.76","260.87","7.11M","0.27%"
"Jan 23, 2018","261.87","261.83","262.29","261.27","3.48M","-0.04%"
"Jan 22, 2018","261.98","259.70","262.01","259.63","3.36M","0.55%"
"Jan 19, 2018","260.54","260.05","260.55","259.27","4.06M","0.15%"
"Jan 18, 2018","260.16","261.24","261.32","259.38","4.86M","-0.35%"
"Jan 17, 2018","261.08","259.26","261.19","258.54","6.14M","1.27%"
"Jan 16, 2018","257.81","260.27","260.75","256.91","8.10M","-0.04%"
"Jan 12, 2018","257.91","256.63","257.97","256.48","3.68M","0.90%"
"Jan 11, 2018","255.61","254.00","255.67","253.85","2.76M","0.78%"
"Jan 10, 2018","253.62","253.17","253.93","252.45","2.36M","-0.08%"
"Jan 09, 2018","253.82","253.20","254.29","252.72","5.03M","0.49%"
"Jan 08, 2018","252.59","252.75","252.97","252.22","3.85M","-0.05%"
"Jan 05, 2018","252.72","251.38","252.85","250.97","3.35M","0.85%"
"Jan 04, 2018","250.60","249.96","250.92","249.62","4.93M","0.66%"
"Jan 03, 2018","248.95","248.32","249.22","248.07","5.53M","0.37%"
"Jan 02, 2018","248.02","248.34","248.47","247.23","4.45M","0.26%"
"Dec 29, 2017","247.38","248.57","248.61","247.17","2.95M","-0.30%"
"Dec 28, 2017","248.13","247.94","248.19","247.77","2.74M","0.26%"
"Dec 27, 2017","247.48","247.15","247.69","247.10","2.93M","0.09%"
"Dec 26, 2017","247.25","246.94","247.59","246.88","2.16M","-0.06%"
"Dec 22, 2017","247.40","247.58","247.61","246.97","1.85M","-0.10%"
"Dec 21, 2017","247.66","247.73","248.29","247.42","2.45M","0.24%"
"Dec 20, 2017","247.07","248.33","248.40","246.76","2.40M","-0.13%"
"Dec 19, 2017","247.40","248.31","248.34","246.94","2.77M","-0.16%"
"Dec 18, 2017","247.79","248.01","248.54","247.53","3.29M","0.63%"
"Dec 15, 2017","246.25","246.21","246.70","245.82","5.86M","0.28%"
"Dec 14, 2017","245.57","246.89","247.07","245.47","4.71M","-0.30%"
"Dec 13, 2017","246.30","245.69","246.99","245.65","3.75M","0.35%"
"Dec 12, 2017","245.44","244.93","245.87","244.80","3.28M","0.52%"
"Dec 11, 2017","244.17","243.77","244.24","243.50","1.86M","0.23%"
"Dec 08, 2017","243.62","243.19","243.63","242.58","2.70M","0.52%"
"Dec 07, 2017","242.36","241.21","242.87","241.10","2.72M","0.31%"
"Dec 06, 2017","241.62","241.72","242.51","241.55","3.98M","-0.16%"
"Dec 05, 2017","242.01","243.78","243.79","241.77","4.93M","-0.45%"
"Dec 04, 2017","243.11","245.01","245.57","243.07","6.57M","0.27%"
"Dec 01, 2017","242.45","243.14","243.44","239.41","9.77M","-0.16%"
"Nov 30, 2017","242.84","240.68","243.49","240.41","6.59M","1.43%"
"Nov 29, 2017","239.42","239.15","239.65","238.77","3.38M","0.45%"
"Nov 28, 2017","238.34","236.32","238.44","236.23","4.84M","1.11%"
"Nov 27, 2017","235.73","235.50","236.33","235.39","2.33M","0.11%"
"Nov 24, 2017","235.47","235.56","235.87","235.41","1.44M","0.13%"
"Nov 22, 2017","235.17","236.06","236.06","234.95","2.86M","-0.24%"
"Nov 21, 2017","235.73","235.17","235.99","235.10","2.75M","0.67%"
"Nov 20, 2017","234.15","233.66","234.37","233.42","2.06M","0.33%"
"Nov 17, 2017","233.39","233.77","233.97","233.36","3.48M","-0.65%"
"Nov 16, 2017","234.91","234.22","235.28","234.19","2.93M","0.84%"
"Nov 15, 2017","232.96","233.16","233.67","232.65","2.82M","-0.56%"
"Nov 14, 2017","234.28","233.97","234.35","232.91","2.57M","-0.16%"
"Nov 13, 2017","234.66","233.66","234.78","233.63","2.45M","0.10%"
"Nov 10, 2017","234.43","234.45","234.67","234.10","2.51M","-0.12%"
"Nov 09, 2017","234.72","234.49","235.28","233.16","4.23M","-0.31%"
"Nov 08, 2017","235.46","235.37","235.61","234.97","1.53M","0.02%"
"Nov 07, 2017","235.42","235.70","235.88","234.69","2.39M","0.00%"
"Nov 06, 2017","235.41","235.23","235.59","235.09","2.55M","0.10%"
"Nov 03, 2017","235.18","235.36","235.39","234.64","2.57M","0.09%"
"Nov 02, 2017","234.96","234.21","235.17","233.32","2.46M","0.33%"
"Nov 01, 2017","234.19","234.60","235.02","233.73","2.68M","0.24%"
"Oct 31, 2017","233.63","233.64","233.91","233.20","1.77M","0.13%"
"Oct 30, 2017","233.33","233.52","234.14","233.15","2.67M","-0.36%"
"Oct 27, 2017","234.17","233.95","234.33","233.36","2.94M","0.14%"
"Oct 26, 2017","233.85","233.91","234.42","233.75","2.58M","0.30%"
"Oct 25, 2017","233.16","234.45","234.45","232.35","3.81M","-0.48%"
"Oct 24, 2017","234.29","234.11","234.70","233.96","3.30M","0.70%"
"Oct 23, 2017","232.65","233.58","233.58","232.61","2.33M","-0.21%"
"Oct 20, 2017","233.13","232.47","233.13","231.89","3.28M","0.64%"
"Oct 19, 2017","231.65","230.84","231.66","230.52","2.31M","0.08%"
"Oct 18, 2017","231.46","231.00","231.68","230.91","2.72M","0.70%"
"Oct 17, 2017","229.85","229.71","229.96","229.52","1.84M","0.17%"
"Oct 16, 2017","229.45","229.07","229.53","228.81","2.37M","0.31%"
"Oct 13, 2017","228.73","228.71","228.97","228.51","1.74M","0.18%"
"Oct 12, 2017","228.33","228.49","228.81","228.15","1.31M","-0.12%"
"Oct 11, 2017","228.61","228.32","228.64","228.17","1.42M","0.15%"
"Oct 10, 2017","228.26","228.21","228.43","227.64","1.42M","0.32%"
"Oct 09, 2017","227.53","227.89","227.96","227.34","1.01M","-0.01%"
"Oct 06, 2017","227.55","227.34","227.63","227.23","2.09M","-0.04%"
"Oct 05, 2017","227.64","226.61","227.66","226.45","2.26M","0.54%"
"Oct 04, 2017","226.41","226.39","226.68","226.18","1.75M","0.08%"
"Oct 03, 2017","226.24","225.74","226.28","225.61","2.51M","0.44%"
"Oct 02, 2017","225.24","224.19","225.39","224.02","2.61M","0.63%"
"Sep 29, 2017","223.82","223.39","223.87","223.13","2.42M","0.10%"
"Sep 28, 2017","223.60","222.97","223.77","222.70","1.46M","0.22%"
"Sep 27, 2017","223.12","223.40","223.52","222.35","2.38M","0.19%"
"Sep 26, 2017","222.69","223.06","223.50","222.62","1.31M","-0.06%"
"Sep 25, 2017","222.82","223.11","223.43","221.99","2.84M","-0.17%"
"Sep 22, 2017","223.20","223.22","223.46","222.82","2.45M","-0.12%"
"Sep 21, 2017","223.47","223.90","223.97","223.39","1.74M","-0.19%"
"Sep 20, 2017","223.90","223.57","223.95","222.95","1.82M","0.14%"
"Sep 19, 2017","223.58","223.37","223.67","223.23","2.04M","0.19%"
"Sep 18, 2017","223.16","222.92","223.39","222.67","1.83M","0.32%"
"Sep 15, 2017","222.45","222.13","222.57","221.91","2.38M","0.06%"
"Sep 14, 2017","222.32","221.65","222.43","221.62","1.89M","0.25%"
"Sep 13, 2017","221.76","221.35","221.79","221.20","1.72M","0.15%"
"Sep 12, 2017","221.42","221.33","221.57","221.07","2.07M","0.30%"
"Sep 11, 2017","220.76","219.58","220.88","219.58","3.02M","1.15%"
"Sep 08, 2017","218.24","217.61","218.66","217.52","2.14M","0.06%"
"Sep 07, 2017","218.11","218.47","218.72","217.68","1.98M","-0.06%"
"Sep 06, 2017","218.25","218.54","218.62","218.04","1.92M","0.27%"
"Sep 05, 2017","217.67","219.53","219.53","217.18","3.83M","-1.02%"
"Sep 01, 2017","219.92","220.13","220.41","219.83","2.15M","0.18%"
"Aug 31, 2017","219.52","219.53","219.89","219.12","2.17M","0.27%"
"Aug 30, 2017","218.93","218.75","219.16","218.39","1.80M","0.16%"
"Aug 29, 2017","218.59","216.68","218.76","216.62","2.01M","0.30%"
"Aug 28, 2017","217.94","218.50","218.58","217.53","1.43M","-0.05%"
"Aug 25, 2017","218.04","218.26","218.93","218.00","2.37M","0.17%"
"Aug 24, 2017","217.66","218.55","218.55","217.46","1.93M","-0.12%"
"Aug 23, 2017","217.92","218.01","218.46","217.84","3.66M","-0.35%"
"Aug 22, 2017","218.69","217.41","218.85","217.30","2.42M","0.90%"
"Aug 21, 2017","216.74","216.46","216.92","215.73","3.47M","0.10%"
"Aug 18, 2017","216.53","216.99","217.66","216.15","4.47M","-0.59%"
"Aug 17, 2017","217.81","220.00","220.07","217.77","3.54M","-1.21%"
"Aug 16, 2017","220.47","220.70","221.10","220.28","2.48M","0.14%"
"Aug 15, 2017","220.16","220.58","220.58","219.86","1.84M","0.09%"
"Aug 14, 2017","219.97","219.88","220.28","219.81","2.61M","0.58%"
"Aug 11, 2017","218.70","218.76","219.22","218.52","4.94M","0.05%"
"Aug 10, 2017","218.60","219.81","219.90","218.55","7.83M","-0.86%"
"Aug 09, 2017","220.50","220.33","220.61","219.96","3.56M","-0.09%"
"Aug 08, 2017","220.69","220.80","221.68","220.44","3.62M","-0.07%"
"Aug 07, 2017","220.85","220.75","220.98","220.60","1.90M","0.13%"
"Aug 04, 2017","220.57","220.64","220.67","220.03","1.88M","0.23%"
"Aug 03, 2017","220.06","219.93","220.23","219.72","2.50M","0.08%"
"Aug 02, 2017","219.89","219.83","220.13","219.44","3.06M","0.24%"
"Aug 01, 2017","219.37","219.74","219.80","219.15","2.31M","0.31%"
"Jul 31, 2017","218.70","218.65","219.03","218.49","1.76M","0.31%"
"Jul 28, 2017","218.02","217.53","218.16","217.30","2.31M","0.14%"
"Jul 27, 2017","217.72","217.28","217.75","216.63","3.20M","0.42%"
"Jul 26, 2017","216.81","216.81","217.16","216.56","2.04M","0.44%"
"Jul 25, 2017","215.86","216.50","216.52","215.49","1.92M","0.36%"
"Jul 24, 2017","215.09","215.51","215.51","214.68","1.46M","-0.20%"
"Jul 21, 2017","215.53","215.19","215.55","214.76","2.22M","-0.31%"
